timestamp,region,carbon_intensity,solar_cloud_pct,wind_speed,temperature
2025-10-08 07:45:00+00:00,IN-SO,419,0,7.9,33.6
2025-10-08 07:50:00+00:00,IN-SO,419,0,7.9,33.6
2025-10-08 07:55:00+00:00,IN-SO,419,0,7.9,33.6
2025-10-08 08:00:00+00:00,IN-SO,419,0,7.9,33.6
2025-10-08 08:05:00+00:00,IN-SO,419,0,7.9,33.6
2025-10-08 08:10:00+00:00,IN-SO,419,0,7.9,33.6
2025-10-08 08:15:00+00:00,IN-SO,419,0,7.9,33.6
2025-10-08 08:20:00+00:00,IN-SO,419,0,7.9,33.6
2025-10-08 08:25:00+00:00,IN-SO,419,0,7.9,33.6
2025-10-08 08:30:00+00:00,IN-SO,419,0,7.9,33.6
2025-10-08 08:35:00+00:00,IN-SO,425,0,12.7,30.8
2025-10-08 08:40:00+00:00,IN-SO,425,0,12.7,30.8
2025-10-08 08:45:00+00:00,IN-SO,425,0,12.7,30.8
2025-10-08 08:50:00+00:00,IN-SO,425,0,12.7,30.8
2025-10-08 08:55:00+00:00,IN-SO,425,0,12.7,30.8
2025-10-08 09:00:00+00:00,IN-SO,425,0,12.7,30.8
2025-10-08 09:05:00+00:00,IN-SO,425,0,12.7,30.8
2025-10-08 09:10:00+00:00,IN-SO,425,0,12.7,30.8
2025-10-08 09:15:00+00:00,IN-SO,425,0,12.7,30.8
2025-10-08 09:20:00+00:00,IN-SO,425,0,12.7,30.8
2025-10-08 09:25:00+00:00,IN-SO,425,0,12.7,30.8
2025-10-08 09:30:00+00:00,IN-SO,425,0,12.7,30.8
2025-10-08 09:35:00+00:00,IN-SO,430,0,10.2,31.6
2025-10-08 09:40:00+00:00,IN-SO,430,0,10.2,31.6
2025-10-08 09:45:00+00:00,IN-SO,430,0,10.2,31.6
2025-10-08 09:50:00+00:00,IN-SO,430,0,10.2,31.6
2025-10-08 09:55:00+00:00,IN-SO,430,0,10.2,31.6
2025-10-08 10:00:00+00:00,IN-SO,430,0,10.2,31.6
2025-10-08 10:05:00+00:00,IN-SO,430,0,10.2,31.6
2025-10-08 10:10:00+00:00,IN-SO,430,0,10.2,31.6
2025-10-08 10:15:00+00:00,IN-SO,430,0,10.2,31.6
2025-10-08 10:20:00+00:00,IN-SO,430,0,10.2,31.6
2025-10-08 10:25:00+00:00,IN-SO,430,0,10.2,31.6
2025-10-08 10:30:00+00:00,IN-SO,430,0,10.2,31.6
2025-10-08 10:35:00+00:00,IN-SO,434,8,10.8,31.3
2025-10-08 10:40:00+00:00,IN-SO,434,8,10.8,31.3
2025-10-08 10:45:00+00:00,IN-SO,434,8,10.8,31.3
2025-10-08 10:50:00+00:00,IN-SO,434,8,10.8,31.3
2025-10-08 10:55:00+00:00,IN-SO,434,8,10.8,31.3
2025-10-08 11:00:00+00:00,IN-SO,434,8,10.8,31.3
2025-10-08 11:05:00+00:00,IN-SO,434,8,10.8,31.3
2025-10-08 11:10:00+00:00,IN-SO,434,8,10.8,31.3
2025-10-08 11:15:00+00:00,IN-SO,434,8,10.8,31.3
2025-10-08 11:20:00+00:00,IN-SO,434,8,10.8,31.3
2025-10-08 11:25:00+00:00,IN-SO,434,8,10.8,31.3
2025-10-08 11:30:00+00:00,IN-SO,434,8,10.8,31.3
2025-10-08 11:35:00+00:00,IN-SO,476,0,4.5,29.5
2025-10-08 11:40:00+00:00,IN-SO,476,0,4.5,29.5
2025-10-08 11:45:00+00:00,IN-SO,476,0,4.5,29.5
2025-10-08 11:50:00+00:00,IN-SO,476,0,4.5,29.5
2025-10-08 11:55:00+00:00,IN-SO,476,0,4.5,29.5
2025-10-08 12:00:00+00:00,IN-SO,476,0,4.5,29.5
2025-10-08 12:05:00+00:00,IN-SO,476,0,4.5,29.5
2025-10-08 12:10:00+00:00,IN-SO,476,0,4.5,29.5
2025-10-08 12:15:00+00:00,IN-SO,476,0,4.5,29.5
2025-10-08 12:20:00+00:00,IN-SO,476,0,4.5,29.5
2025-10-08 12:25:00+00:00,IN-SO,476,0,4.5,29.5
2025-10-08 12:30:00+00:00,IN-SO,476,0,4.5,29.5
2025-10-08 12:35:00+00:00,IN-SO,527,34,2.3,28.6
2025-10-08 12:40:00+00:00,IN-SO,527,34,2.3,28.6
2025-10-08 12:45:00+00:00,IN-SO,527,34,2.3,28.6
2025-10-08 12:50:00+00:00,IN-SO,527,34,2.3,28.6
2025-10-08 12:55:00+00:00,IN-SO,527,34,2.3,28.6
2025-10-08 13:00:00+00:00,IN-SO,527,34,2.3,28.6
2025-10-08 13:05:00+00:00,IN-SO,527,34,2.3,28.6
2025-10-08 13:10:00+00:00,IN-SO,527,34,2.3,28.6
2025-10-08 13:15:00+00:00,IN-SO,527,34,2.3,28.6
2025-10-08 13:20:00+00:00,IN-SO,527,34,2.3,28.6
2025-10-08 13:25:00+00:00,IN-SO,527,34,2.3,28.6
2025-10-08 13:30:00+00:00,IN-SO,527,34,2.3,28.6
2025-10-08 13:35:00+00:00,IN-SO,526,64,5.7,27.6
2025-10-08 13:40:00+00:00,IN-SO,526,64,5.7,27.6
2025-10-08 13:45:00+00:00,IN-SO,526,64,5.7,27.6
2025-10-08 13:50:00+00:00,IN-SO,526,64,5.7,27.6
2025-10-08 13:55:00+00:00,IN-SO,526,64,5.7,27.6
2025-10-08 14:00:00+00:00,IN-SO,526,64,5.7,27.6
2025-10-08 14:05:00+00:00,IN-SO,526,64,5.7,27.6
2025-10-08 14:10:00+00:00,IN-SO,526,64,5.7,27.6
2025-10-08 14:15:00+00:00,IN-SO,526,64,5.7,27.6
2025-10-08 14:20:00+00:00,IN-SO,526,64,5.7,27.6
2025-10-08 14:25:00+00:00,IN-SO,526,64,5.7,27.6
2025-10-08 14:30:00+00:00,IN-SO,526,64,5.7,27.6
2025-10-08 14:35:00+00:00,IN-SO,525,34,5.5,26.8
2025-10-08 14:40:00+00:00,IN-SO,525,34,5.5,26.8
2025-10-08 14:45:00+00:00,IN-SO,525,34,5.5,26.8
2025-10-08 14:50:00+00:00,IN-SO,525,34,5.5,26.8
2025-10-08 14:55:00+00:00,IN-SO,525,34,5.5,26.8
2025-10-08 15:00:00+00:00,IN-SO,525,34,5.5,26.8
2025-10-08 15:05:00+00:00,IN-SO,525,34,5.5,26.8
2025-10-08 15:10:00+00:00,IN-SO,525,34,5.5,26.8
2025-10-08 15:15:00+00:00,IN-SO,525,34,5.5,26.8
2025-10-08 15:20:00+00:00,IN-SO,525,34,5.5,26.8
2025-10-08 15:25:00+00:00,IN-SO,525,34,5.5,26.8
2025-10-08 15:30:00+00:00,IN-SO,525,34,5.5,26.8
2025-10-08 15:35:00+00:00,IN-SO,526,0,5.4,26.3
2025-10-08 15:40:00+00:00,IN-SO,526,0,5.4,26.3
2025-10-08 15:45:00+00:00,IN-SO,526,0,5.4,26.3
2025-10-08 15:50:00+00:00,IN-SO,526,0,5.4,26.3
2025-10-08 15:55:00+00:00,IN-SO,526,0,5.4,26.3
2025-10-08 16:00:00+00:00,IN-SO,526,0,5.4,26.3
2025-10-08 16:05:00+00:00,IN-SO,526,0,5.4,26.3
2025-10-08 16:10:00+00:00,IN-SO,526,0,5.4,26.3
2025-10-08 16:15:00+00:00,IN-SO,526,0,5.4,26.3
2025-10-08 16:20:00+00:00,IN-SO,526,0,5.4,26.3
2025-10-08 16:25:00+00:00,IN-SO,526,0,5.4,26.3
2025-10-08 16:30:00+00:00,IN-SO,526,0,5.4,26.3
2025-10-08 16:35:00+00:00,IN-SO,526,0,3.2,26.1
2025-10-07 16:00:00+00:00,IN-WE,,78,5.2,27.8
2025-10-07 16:05:00+00:00,IN-WE,673,78,5.2,27.8
2025-10-07 16:10:00+00:00,IN-WE,673,78,5.2,27.8
2025-10-07 16:15:00+00:00,IN-WE,673,78,5.2,27.8
2025-10-07 16:20:00+00:00,IN-WE,673,78,5.2,27.8
2025-10-07 16:25:00+00:00,IN-WE,673,78,5.2,27.8
2025-10-07 16:30:00+00:00,IN-WE,673,78,5.2,27.8
2025-10-07 16:35:00+00:00,IN-WE,673,70,4.7,27.7
2025-10-07 16:40:00+00:00,IN-WE,673,70,4.7,27.7
2025-10-07 16:45:00+00:00,IN-WE,673,70,4.7,27.7
2025-10-07 16:50:00+00:00,IN-WE,673,70,4.7,27.7
2025-10-07 16:55:00+00:00,IN-WE,673,70,4.7,27.7
2025-10-07 17:00:00+00:00,IN-WE,673,70,4.7,27.7
2025-10-07 17:05:00+00:00,IN-WE,673,70,4.7,27.7
2025-10-07 17:10:00+00:00,IN-WE,673,70,4.7,27.7
